id,name,type,gender,country,begin_date,end_date,begin_area_id,begin_area_name,area_id,area_name,place_id,place,place_full,place_latlng
fa97dd36-1b82-43d7-a6e4-2adeafd59cef,Fleet Foxes,Group,,US,2006,2012,10adc6b5-63bf-4b4e-993e-ed83b05c22fc,Seattle,489ce91b-6658-3307-9877-795b68554c98,United States,10adc6b5-63bf-4b4e-993e-ed83b05c22fc,Seattle,"Seattle, King County, Washington, United States","47.6038321,-122.3300623"
1ba1d493-7114-45e2-b163-a36d49a0c065,Chet Baker,Person,Male,US,1929-12-23,1988-05-13,54b31981-343a-4b4f-b4a6-a0d1f1cf95b1,Yale,489ce91b-6658-3307-9877-795b68554c98,United States,54b31981-343a-4b4f-b4a6-a0d1f1cf95b1,Yale,"Yale, Payne County, Oklahoma, United States","36.1142305,-96.6991932"
7f260b9c-bea7-469b-9ba8-0daec7d2c85c,Madeleine Peyroux,Person,Female,US,1973-01-01,,,,489ce91b-6658-3307-9877-795b68554c98,United States,489ce91b-6658-3307-9877-795b68554c98,United States,United States,"39.7837304,-100.4458824"
5e290025-aca1-4035-b26d-bd36e105eb52,Connan Mockasin,Person,Male,NZ,,,f4cf3deb-b7ad-403b-bc5a-fd0f9fdf1807,Te Awanga,8524c7d9-f472-3890-a458-f28d5081d9c4,New Zealand,f4cf3deb-b7ad-403b-bc5a-fd0f9fdf1807,Te Awanga,"Te Awanga, Hawke's Bay, North Island, New Zealand","-39.635826,176.9815939"
d700b3f5-45af-4d02-95ed-57d301bda93e,Mogwai,Group,,GB,1995,,c279f805-01f8-46f5-99cf-51f165a1adad,Glasgow,8a754a16-0027-3a29-b6d7-2b40ea0481ed,United Kingdom,c279f805-01f8-46f5-99cf-51f165a1adad,Glasgow,"Glasgow, Scotland, United Kingdom","55.856656,-4.2435816"
6f6fd596-76e0-4b82-aa37-f558ac2d337b,Gotye,Person,Male,,1980-05-21,,5751a645-3c3b-4efa-8f4c-f4ea4a437815,Brugge,b4e9352c-8edf-4911-8fa3-e852afa30501,Melbourne,5751a645-3c3b-4efa-8f4c-f4ea4a437815,Brugge,"Brugge, West-Vlaanderen, Flanders, Belgium","51.2082905,3.2261497"
c6ea915d-3441-48fe-b1ad-e832e1410ea7,Marin Marais,Person,Male,FR,1656-05-31,1728-08-15,dc10c22b-e510-4006-8b7f-fecb4f36436e,Paris,08310658-51eb-3801-80de-5a0739207115,France,dc10c22b-e510-4006-8b7f-fecb4f36436e,Paris,"Paris, Île-de-France, France","48.8566101,2.3514992"
5115929f-f133-47b4-bf1c-8a0df582ce23,Vinicio Capossela,Person,Male,IT,1965-12-14,,,,c6500277-9a3d-349b-bf30-41afdbf42add,Italy,c6500277-9a3d-349b-bf30-41afdbf42add,Italy,Italy,"42.6384261,12.674297"
40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27,The Smiths,Group,,GB,1982,1987,852531bf-3410-401f-b432-9c3157a386b9,Manchester,8a754a16-0027-3a29-b6d7-2b40ea0481ed,United Kingdom,852531bf-3410-401f-b432-9c3157a386b9,Manchester,"Manchester, Greater Manchester, England, United Kingdom","53.4791301,-2.2441008"
e2305342-0bde-4a2c-aed0-4b88694834de,Unknown Mortal Orchestra,Group,,US,2010,,2b748d6e-bc1c-4434-9f7b-ecd6332bc557,Portland,489ce91b-6658-3307-9877-795b68554c98,United States,2b748d6e-bc1c-4434-9f7b-ecd6332bc557,Portland,"Portland, Multnomah County, Oregon, United States","45.5202471,-122.6741948"
24088e02-cf06-4a1e-9e4e-283b165ba7d5,Cascadeur,Person,Male,FR,,,,,08310658-51eb-3801-80de-5a0739207115,France,08310658-51eb-3801-80de-5a0739207115,France,France,"46.603354,1.8883335"
384c09cc-250e-44f7-b0f5-2fdbfe4e6e24,Dead Combo,Group,,,,,,,,,,,,
758846a6-bda2-4e10-8b7c-6f21a83beb04,Dark Dark Dark,Group,,,2006,,3e80aaa7-9b71-450f-8147-0ecf101d8f1a,Minneapolis,3e80aaa7-9b71-450f-8147-0ecf101d8f1a,Minneapolis,3e80aaa7-9b71-450f-8147-0ecf101d8f1a,Minneapolis,"Minneapolis, Hennepin County, Minnesota, United States","44.9772995,-93.2654691"
a22e0fde-9f2b-4c29-aa87-5a987cb1cc7c,Alexander Ebert,Person,Male,US,1978-05-12,,1f40c6e1-47ba-4e35-996f-fe6ee5840e62,Los Angeles,489ce91b-6658-3307-9877-795b68554c98,United States,1f40c6e1-47ba-4e35-996f-fe6ee5840e62,Los Angeles,"Los Angeles, Los Angeles County, California, United States","34.054935,-118.2444759"
f37b3f31-b1f8-4b88-8cb5-b34f709b17d7,Iggy Pop,Person,Male,US,1947-04-21,,1a534484-1d80-4113-8cab-117f2db100a0,Muskegon,489ce91b-6658-3307-9877-795b68554c98,United States,1a534484-1d80-4113-8cab-117f2db100a0,Muskegon,"Muskegon, Muskegon County, Michigan, United States","43.2341813,-86.248392"
bedd9902-7e35-4212-ae58-a52a184b4f56,Biel Ballester Trio,Group,,,,,,,,,,,,
550fbe01-42e9-4006-bcd0-6a1854dceb8f,Wanda Jackson,Person,Female,US,1937-10-20,,582bc000-d920-4573-933d-1cafad76d1b6,Maud,489ce91b-6658-3307-9877-795b68554c98,United States,582bc000-d920-4573-933d-1cafad76d1b6,Maud,"Maud, Seminole County, Oklahoma, United States","35.130355,-96.7758528"
a65f4f19-9f4c-4a44-906f-87aa4ceee900,Jacques Dutronc,Person,Male,FR,1943-04-28,,,,08310658-51eb-3801-80de-5a0739207115,France,08310658-51eb-3801-80de-5a0739207115,France,France,"46.603354,1.8883335"
cfd1fdcc-3c1d-4854-a500-31d96a6d5184,Allah-Las,Group,,US,2008,,1f40c6e1-47ba-4e35-996f-fe6ee5840e62,Los Angeles,489ce91b-6658-3307-9877-795b68554c98,United States,1f40c6e1-47ba-4e35-996f-fe6ee5840e62,Los Angeles,"Los Angeles, Los Angeles County, California, United States","34.054935,-118.2444759"
2ed8ecda-5bb9-4d9f-8c99-0bf9b85b3624,Graham Nash,Person,Male,GB,1942-02-02,,75aace97-0d87-4f8d-841a-095c85052581,Blackpool,8a754a16-0027-3a29-b6d7-2b40ea0481ed,United Kingdom,75aace97-0d87-4f8d-841a-095c85052581,Blackpool,"Blackpool, Lancashire, England, United Kingdom","53.7729602,-3.0312645859123"
7947dab4-4274-46f4-bc11-135561c110b7,Maxence Cyrin,Person,Male,,,,,,dc10c22b-e510-4006-8b7f-fecb4f36436e,Paris,dc10c22b-e510-4006-8b7f-fecb4f36436e,Paris,"Paris, Île-de-France, France","48.8566101,2.3514992"
c1213174-2d79-488d-93fd-1db2ef43da8e,Geographer,Group,,US,2008,,83f22bb6-4631-443c-bace-9fae8540362a,San Francisco,489ce91b-6658-3307-9877-795b68554c98,United States,83f22bb6-4631-443c-bace-9fae8540362a,San Francisco,"San Francisco, California, United States","37.7792808,-122.4192362"
07b6020a-c539-4d68-aeef-f159f3befc76,Band of Horses,Group,,US,2004,,10adc6b5-63bf-4b4e-993e-ed83b05c22fc,Seattle,489ce91b-6658-3307-9877-795b68554c98,United States,10adc6b5-63bf-4b4e-993e-ed83b05c22fc,Seattle,"Seattle, King County, Washington, United States","47.6038321,-122.3300623"
20883363-1ea4-4d72-ad72-c0e767038f3e,The Mars Volta,Group,,US,2001,2013,b1a61563-a0c7-4bca-af23-66892a3c0115,El Paso,489ce91b-6658-3307-9877-795b68554c98,United States,b1a61563-a0c7-4bca-af23-66892a3c0115,El Paso,"El Paso, El Paso County, Texas, United States","31.7600372,-106.4872869"
43e2b545-3e4a-4fd7-a773-8daafa610570,Lovage,Group,,US,2000,2002,,,489ce91b-6658-3307-9877-795b68554c98,United States,489ce91b-6658-3307-9877-795b68554c98,United States,United States,"39.7837304,-100.4458824"
842a614c-74cd-4e83-b61d-d0194b44cd90,Ciegossordomudos,Group,,,1994-03-05,,6f85c2b6-4250-468b-9bd8-300fd8b451ad,Bogotá,6f85c2b6-4250-468b-9bd8-300fd8b451ad,Bogotá,6f85c2b6-4250-468b-9bd8-300fd8b451ad,Bogotá,"Bogotá, Colombia","4.5980478,-74.0760866"
